Actual_quantity,Country,Created_date,Invoice_date,Master_data,Old_SKU_name,Requested_date,SKU_number,Shipped_date,Supplier
1,Germany,10/05/2019,10/05/2019,,Hybrid Battery 24V/7Ah UPGRADE,10/05/2019,AH-FOL-HYB-BAT-7Ah UPGRADE,10/05/2019,UBW ZRT
1,Belgium,01/03/2019,01/03/2019,,Hybrid Battery 24V/7Ah UPGRADE,01/03/2019,AH-FOL-HYB-BAT-7Ah UPGRADE,01/03/2019,UBW ZRT
,,,,['recSDn7tHV5YwJooJ'],,,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc BlueBrown grip and saddle,,
1,Belgium,01/08/2019,01/08/2019,,BEBAT Main battery,01/08/2019,BEBAT1,01/08/2019,
1,Belgium,21/05/2019,21/05/2019,,BEBAT Main battery,21/05/2019,BEBAT1,21/05/2019,
,,,,['recBP1OteY2hR222J'],,,Selle Royale Scientia M3 (upgrade),,
-1,Belgium,12/07/2019,12/07/2019,,Standard Folding Pedals PLASTIC,12/07/2019,A1-8005,12/07/2019,UBW
1,Belgium,25/06/2019,25/06/2019,,Maintenance Pack: BASIC+,25/06/2019,SAV Basic+,25/06/2019,
1,Belgium,13/07/2019,13/07/2019,,Finish Line Cleaner and Lubricant,13/07/2019,FI254,13/07/2019,HARTJE
1,Belgium,28/02/2019,28/02/2019,,Maintenance Pack : BASIC,28/02/2019,SERV INDISPENSABLE,28/02/2019,Ahooga Sprl
2,Belgium,15/01/2019,15/01/2019,,Hybrid Battery 24V/7Ah,15/01/2019,AH-FOL-HYB-BAT-24V-7AH,15/01/2019,Greenway
1,Belgium,06/06/2019,06/06/2019,,Folding B i k e Disc Brakes Option (6-10 weeks),06/06/2019,AH-FOL-DISC BRAKE,06/06/2019,
1,Belgium,07/05/2019,07/05/2019,,Ahooga Folding Bike - Push/Essential - White Sunrise,07/05/2019,AH-FOL-PUSH ESS,07/05/2019,
1,Germany,11/07/2019,11/07/2019,,Small Goods Shipping,11/07/2019,SHIPPING SMALL PARCEL,11/07/2019,DPD
1,Belgium,25/06/2019,25/06/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),25/06/2019,AH-FOL-POW,25/06/2019,
1,Luxembourg,22/07/2019,22/07/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),22/07/2019,AH-FOL-POW,22/07/2019,
,,,,['recIdIBmNUZlKYwg0'],,,Power + Modular Display,,
2,Belgium,20/02/2019,20/02/2019,,BIKE SHIPPING BE,20/02/2019,SHIPPING BE,20/02/2019,DPD
1,Luxembourg,22/07/2019,22/07/2019,,CUSTOM logo on Custom color (6-10 weeks),22/07/2019,AH-FOL-CUSTOM LOGO ON CUSTOM COLOR,22/07/2019,
1,France,25/04/2019,25/04/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),25/04/2019,AH-FOL-POW,25/04/2019,
1,Belgium,16/05/2019,16/05/2019,,Custom color,16/05/2019,AH-POW-COL,16/05/2019,
1,Belgium,16/05/2019,16/05/2019,,Rear Carrier for Ahooga Folding B i k e,16/05/2019,AH-POW-ACC-CARRIER,16/05/2019,
1,Belgium,02/05/2019,02/05/2019,,Replacement REAR inner tire,02/05/2019,SAV REAR INNER TIRE,02/05/2019,
1,Belgium,02/07/2019,02/07/2019,,FINN,02/07/2019,129426,02/07/2019,AGU
1,Belgium,31/05/2019,31/05/2019,,Ahooga 1 Motor 7 Speed with cable and connector,31/05/2019,A1 4009 DISC,31/05/2019,Keyde
1,Belgium,17/07/2019,17/07/2019,,Cassette Remover,17/07/2019,remover,17/07/2019,AGU
,,,,['recTRf4Jty7NqTeTU'],,,Transport Bag (already shipped separately),,
,,,,['recKdXvL4JUwOBQSs'],,,"eBike caliper marathon+ 4,4Ah batteryCUSTOM RAL 5002 &amp;quot;Ultramarine blue&amp;quot; MAT , decal dark grey, BLACK grip and saddle",,
1,Belgium,15/03/2019,15/03/2019,,Carrying Handle Farher,15/03/2019,640757,15/03/2019,FAHRER
1,Belgium,19/03/2019,19/03/2019,,Ahooga 1 DISC Fork,19/03/2019,AH1 - 1003 B,19/03/2019,
1,Belgium,18/01/2019,18/01/2019,,"Comfy saddle BLACK, Blinder Mini Niner",18/01/2019,COMFORT+ pack (2018) BLACK,18/01/2019,Ahooga Sprl
,,,,['recDE7krtif0q83VE'],,,Custom Color PINK GLOSSY,,
1,Belgium,23/02/2019,23/02/2019,,Helmet Torch - T2 Midnight Edition,23/02/2019,TORCH MIDNIGHT,23/02/2019,ROOL IN
