,Actual_quantity,Customer,Product_group,Product_family,Country,New_SKU_Name,Created_date_month,Created_date_year
394,1,DPD,Component,Other,Switzerland,Other,2,2019
395,1,AGU,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,1,2019
396,1,AGU,Component,Other,Belgium,Other,6,2019
397,1,Humpert,Bike,Other,Belgium,Ahooga Modular Bike - 36V - 8S,5,2019
398,1,DPD,Component,Other,Belgium,Other,4,2019
399,1,FAHRER,Component,Other,Belgium,Other,7,2019
400,5,AGU,Component,Other,Belgium,Other,4,2019
401,6,UBW,Component,Other,France,Other,4,2019
402,2,,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Essential - White Sunrise,7,2019
403,1,,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,6,2019
404,1,AGU,Component,Other,Belgium,Other,3,2019
405,1,UBW ZRT,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal,2,2019
406,1,,Component,Other,Belgium,Other,2,2019
407,1,OWLCRAFT,Component,Other,Belgium,Other,2,2019
408,1,,Component,Other,Belgium,Other,3,2019
409,1,UBW,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,5,2019
410,1,AGU,Component,Other,Belgium,Other,3,2019
411,1,UBW,Component,Other,Belgium,Other,6,2019
412,1,,Component,Other,Belgium,Other,5,2019
413,1,,Component,Other,Belgium,Other,6,2019
414,1,DPD,Component,Other,Belgium,Other,7,2019
415,1,UBW ZRT,Component,Other,Belgium,Other,2,2019
416,1,DPD,Component,Other,Belgium,Other,5,2019
417,1,UBW,Component,Other,Germany,Other,5,2019
418,1,FACT BIKEPARTS,Component,Other,Belgium,Other,7,2019
419,1,,Component,Other,Belgium,Other,6,2019
420,1,ROOL IN,Component,Other,Belgium,Other,5,2019
421,1,,Component,Other,Luxembourg,Other,3,2019
422,1,,Component,Other,Belgium,Other,6,2019
423,1,AGU,Component,Other,Belgium,Other,7,2019
424,1,DPD,Bike,Power 36V,France,Ahooga Folding Bike - Power+ - OMG Silver,6,2019
425,1,BUSCH &amp; MULLER,Component,Other,Belgium,Other,2,2019
426,1,DPD,Component,Other,Belgium,Other,4,2019
427,1,DPD,Component,Other,Germany,Other,8,2019
428,1,AGU,Component,Other,Belgium,Other,4,2019
429,1,UBW ZRT,Component,Other,Belgium,Other,3,2019
430,1,,Component,Other,Belgium,Other,5,2019
431,1,DPD,Component,Other,Belgium,Other,7,2019
432,1,,Component,Other,Belgium,Other,4,2019
433,1,DPD,Component,Other,Belgium,Other,6,2019
434,1,AGU,Component,Other,Belgium,Other,3,2019
435,1,,Component,Other,Belgium,Other,6,2019
436,1,,Component,Other,Belgium,Other,6,2019
437,1,,Component,Other,Belgium,Other,6,2019
438,1,Ahooga Sprl,Component,Other,Belgium,Other,1,2019
439,1,DPD,Component,Other,France,Other,6,2019
440,1,,Component,Other,France,Other,6,2019
441,1,DPD,Component,Other,Belgium,Other,4,2019
442,1,Ahooga Sprl,Component,Other,Belgium,Other,7,2019
443,1,,Component,Other,Belgium,Other,6,2019
444,1,,Component,Other,Belgium,Other,5,2019
445,1,AGU,Component,Other,Belgium,Other,6,2019
446,1,AGU,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,7,2019
